"Ah, mon fils !","À quel sort êtes-vous destiné ?"
"Ah, nuit !","Assiste-moi, couvre-moi de ton ombre, afin que je l'évite."
"Si monsieur l’esprit voulait sauver ma vie, qu’il me ferait de bien !","Sais-tu bien quel génie te conduit en ce lieu ?"
"Sais-tu bien quel génie te conduit en ce lieu ?","Quel qu'il soit, tu m'y vois."
"Mais souffrons qu’il respire ; je connais ce que c’est, ce pauvre malheureux plaint son maître, et sans doute il faut qu’un sort fâcheux ait prévenu nos soins.","Reconnais-moi."
"Me feriez-vous la grâce, don juan, de vouloir bien me reconnaître, et puis-je au moins espérer que vous daigniez tourner le visage de ce côté ?","Je vous avoue que je suis surpris, et que je ne vous attendais pas ici."
"Vous ne connaissez pas monsieur, bonhomme, il ne croit qu’en deux et deux font quatre, et en quatre et quatre font huit.","Quelle est ton occupation parmi ces arbres ?"
"De prier le ciel tout le jour pour la prospérité des gens de bien qui me donnent quelque chose.","Il ne se peut donc pas que tu ne sois bien à ton aise ?"
"Quoi, mon frère, vous voilà avec notre ennemi mortel !","Oui je suis don juan moi-même, et l’avantage du nombre ne m’obligera pas à vouloir déguiser mon nom."
"Monsieur, je suis bien comme cela.","Point, point, je veux que vous soyez assis comme moi."
"Non, non, je sais ce que je vous dois, et je ne veux point qu’on mette de différence entre nous deux.","Allons assoyez-vous."
"J’étais…","Mettez-vous là vous dis-je."
"Non, monsieur, je suis bien, je viens pour.","Non, je ne vous écoute point si vous n’êtes assis."
"Apprenez encore qu’un gentilhomme qui vit mal, est un monstre dans la nature, que la vertu est le premier titre de noblesse, que je regarde bien moins au nom qu’on signe, qu’aux actions qu’on fait, et que je ferais plus d’état d’un fils d’un crocheteur qui serait honnête homme, que du fils d’un monarque qui vivrait comme vous.","Si vous étiez assis, vous en seriez bien mieux pour parler."
"Aussi risque-t-on moins, suivant cette manière :  on a, dans les plaisirs, sûreté tout entière,  le vice continue en manquant de témoins,  l’on vous croit innocent quand vous l’êtes le moins ;  dans le doute qu’on a, si quelqu’un vous accuse,  vingt autres plus dupés soutiendront qu’il s’abuse,  et l’affectation d’un mérite apparent  impose le silence à tel qui nous reprend.","Cependant que chacun se gouverne à sa mode  pour moi qui n’ai d’égard qu’a ce qui m’accommode,  j’agis différemment suivant l’occasion,  et je ne suis jamais la même opinion ;  par force, ou par douceur, je sais me satisfaire,  et je crois que pour tout c’est le plus nécessaire."
"sans ce morceau de mât je serais resté là,  je t’en rends grâce, ô ciel !","Mais qui vois-je paraître ?"
"Ah !","Que dans ce moment mon coeur ressent de joie !"
"Qui va là donc ?","Et qui va là toi-même ?"
"je ne puis être à vous sans lui faire une injure ;  voyez de plus l’horreur d’une telle aventure,  et que le ciel aigri de l’amour des deux soeurs,  exercera sur moi les dernières rigueurs.","La bonne âme !"
"Hé !","Pour voir ce qu’ils sont, il ne faut que des yeux."
"Je m’y serais rendu, mais paquette et thomasse.","Je viens de voir certaine ombre qui passe."
"viendras-tu ?","Me voilà."
"Dans ces occasions il y va de l’honneur.","mais où donc étais-tu ?"
"Moi ?","J’étais là derrière,  où j’adressais au ciel pour vous une prière."
"J’étais là derrière,  où j’adressais au ciel pour vous une prière.","Ou pour toi."
"Chacun doit faire ici son compte,  si je n’y prenais garde, il ne resterait rien,  mais j’en prends par avance et crois faire fort bien.","Mets-toi là."
"tes crimes sont si grands qu’on frémit à les dire,  le ciel veut un remords : parle, y veux-tu souscrire ?","Que viens-tu nous conter ?"
"Que viens-tu nous conter ?","L’agréable entretien !"
"Que veux-tu ?","Je ne te connais pas."
"C’est par là que mes maux sont sans comparaison, car pendant sa folie et tout ce badinage, je ne bois ni ne mange, et c’est de quoi j’enrage.","Le voici."
"Un qui commet partout des crimes effroyables, qui se moque de tout, ne craint ni dieux ni diables, qui tue et qui viole ; au reste, homme de bien ; malepeste, nenni, cela ne vaudrait rien.","Qui va là ?"
"Personne.","Qui ?"
"Me voilà demeuré ; quels faquins sont-ce là?","Arrêtez, et sachons qui vous êtes."
"Vaillance à part, dis moi ?","Comment m'as-tu trouvé ?"
"Un pèlerin.","En l'état où je suis chacun me fait ombrage, avance, et va le voir si tu peux au visage."
"Un siège.","Tu sois le bienvenu."
"Eh bien !","Approche donc et me tiens compagnie."
"Mais quelqu'un viendrait-il ici troubler la fête ?","C'est à moi que le sort vous destine aujourd'hui."
