"Briguelle, que fais-tu ?","Je rassure mon cœur, et tâche à retenir mon âme qui s’envole."
"Si le deuil qui vous suit et vous ronge sans cesse, si votre cœur toujours plongé dans la tristesse, vous étaient des moyens de retrouver un jour celui qui ne vit plus que dedans votre amour, si votre plainte enfin vous rendait votre père, j’approuverais ici votre douleur amère.","Il faut vous consoler, il vit dedans des cœurs, où sa mort a causé de semblables douleurs."
"Il faut vous consoler, il vit dedans des cœurs, où sa mort a causé de semblables douleurs.","Séville, en vous voyant en est dans des alarmes ; en vous voyant pleurer, elle jette des larmes."
"Après un triste sort et tant de violence, donnez-nous ce sujet d’ample réjouissance.","Je dépends maintenant de votre autorité, et ne dois suivre en tout que votre volonté."
"Un homme officieux, comme il est, obtient tout sur le cœur d’une amante.","Mais jouissez du bien que l’amour vous présente, possédez l’entretien d’un vertueux amant, et que rien ne vous trouble en ce contentement."
"Vous n’êtes pas tenu de faire l’impossible.","Non, votre cœur est franc et le mien est sensible, et je reconnaîtrai vos soins par des faveurs, qui banniront de vous la peine et les douleurs."
"Ce sont des dieux puissants, à qui tous les mortels doivent incessamment ériger des autels ; je viens les implorer, ces divines puissances, d’aider un malheureux au fort de ses souffrances.","Oui, je rencontre en vous, et mon temple et mes dieux ; et puisque dom jouan m’attire dans ces lieux, j’ai cru que je devais, pour ne pas faire un crime, vous apporter mon cœur ainsi qu’une victime."
"Oui, je rencontre en vous, et mon temple et mes dieux ; et puisque dom jouan m’attire dans ces lieux, j’ai cru que je devais, pour ne pas faire un crime, vous apporter mon cœur ainsi qu’une victime.","C’est là ce que je veux, et n’ai pas mérité que vous songiez encore à ma fidélité."
"S’ils manquent, en tout cas je n’y manquerai pas, car je sais mieux qu’aucun le lieu qui le recèle.","Vous voulez qu’on vous doive une prise si belle."
"Je suis mort, il lui faut obéir.","Connais-tu bien quelle est l’âme de la nature, celui qui donne l’être à toute créature ?"
"Puisque à présent mon père est vengé pleinement, allons, je suis à vous.","À ce discours charmant, que mon tourment m’est doux !"
"Le sort aux bons valets à la fin fait justice : je recouvre un brave homme, et je suis désormais pour être plus heureux que je ne fus jamais.","Quoique puisse dire aristote et toute la philosophie, il n’est rien d’égal au tabac, c’est la passion des honnêtes gens, et qui vit sans tabac n’est pas digne de vivre ; non seulement il réjouit et purge les cerveaux humains, mais encore il instruit les âmes à la vertu, et leur apprend avec lui à demeurer honnête homme ; ne voyez vous pas bien, dès qu’on en prend, de quelle manière obligeante on en use avec tout le monde, et comme on est ravi d’en donner à droite et à gauche, partout où l’on se trouve ?"
"Oui.","Ma foi tu ne te trompes pas, et je dois t’avouer qu’un autre objet a chassé done elvire, de ma pensée."
"On ne peut pas aller là contre ; mais si vous ne le vouliez pas, ce serait peut-être une autre affaire.","Et bien, je te donne la liberté de parler, et de me dire tes sentiments."
"De quoi est-il question ?","Il est question de te dire qu’une jeune beauté me tient au cœur, et qu’entraîné par ses appas, je l’ai suivie jusque dans cette ville."
