"Eh bien !","Je m’y rendrai, toujours exempt d’effroi."
"Je m’y rendrai, toujours exempt d’effroi.","Où veux-tu que ce soit ?"
"Où veux-tu que ce soit ?","Dessus ma sépulture."
"Dessus ma sépulture.","Oui-da, tu m’y verras."
"Monsieur, je conjecture que vous devez périr dans ce lieu de malheur ; je n’irais pas.","Maraud !"
"C’est un richard sans peur, et je crois que ce diable encore le surpasse.","Mais, ô dieux !"
"Je rassure mon cœur, et tâche à retenir mon âme qui s’envole.","Ah, dieux !"
"Je suis sans pouls, sans force et sans parole.","Tu t’es épouvanté."
"Qui ne le serait pas ?","Il faudrait qu’il fut diable, et diable du plus bas des cachots de l’enfer, où tous maux l’on endure."
"Vous pouvez la tirer de son affliction, chacun sait bien le cours de votre passion, on aime dom philippe, on l’honore, on l’estime, on sait qu’il est vaillant, généreux, magnanime, et l’on n’attend de vous que l’heure et le moment pour faire votre époux d’un homme si charmant.","Après un triste sort et tant de violence, donnez-nous ce sujet d’ample réjouissance."
"Aussi dedans ces lieux, il n’a pas l’insolence de paraître à vos yeux en qualité d’amant, mais comme un criminel traîné par son tourment, qui ne peut rencontrer de plus rude souffrance que de voir amarille être encor sans vengeance.","Vous savez bien comment l’injustice des cieux a mal récompensé mon zèle officieux."
"Monsieur, je vous cherchais, on vient de nous apprendre qu’on a vu dom jouan, nous allons pour le prendre ; on nous vient d’informer des lieux où l’on l’a vu.","Enfin, vous voyez bien que le ciel a pourvu à me donner secours au soin de ma vengeance."
"On nous étouffera : soleil, étoiles, lune, adieu donc pour jamais, je vais dans des manoirs où nous ne verrons rien que des démons tout noirs.","Qui t’intimide, sot, et que pouvons-nous craindre ?"
"Vous vous obstinez, pour m’achever de peindre, mais encore une fois, monsieur, pensez-y bien, nous n’en reviendrons pas.","Va, va, je ne crains rien ; j'ai vu ce qu'on peut voir, sur la terre : les esprits forts, les grands, les savants et la guerre."
"Il ne me reste plus dans mes pensers divers, qu’à voir, si je pouvais, les cieux et les enfers.","Celui que je vais voir n’est plus dans ces matières, qui souvent font obstacle aux plus belles lumières ; c’est un esprit tout pur, et je ne doute pas que l’esprit et le corps n’y fasse un bon repas."
"Allons donc sans tarder, l’occasion est belle, je crois qu’il tient école aussi surnaturelle.","L’homme est lâche qui vit dans la stupidité, on doit porter partout sa curiosité."
"L’homme est lâche qui vit dans la stupidité, on doit porter partout sa curiosité.","Vivre pour mourir est une sotte vie."
"Crois-tu vivre toujours ?","Ce serait mon envie, mais vous m’en ôtez bien les moyens maintenant."
